Profit Weight,Inventory Weight,Time Weight,Quantity Weight,Objective Value,Total Bikes Produced,Unused Inventory,Production Time,Profit
0.1,-2.0,-1.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-3.0,2.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,0.5,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,1.0,8744.0,0.0,4372.0,0.0,0.0
0.1,-2.0,-5.0,2.0,9029.6,595.0,1397.0,714.0,5235.999999999998
0.1,-3.0,-1.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-1.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-1.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-3.0,2.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,0.5,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,1.0,13116.0,0.0,4372.0,0.0,0.0
0.1,-3.0,-5.0,2.0,13116.0,0.0,4372.0,0.0,0.0
